,Unnamed: 0,SUCURSAL,PERIODO,MES,PROVEEDOR,FOLIO_VENTA,TIPO_VENTA,CANTIDAD_VENTA,TOTAL_VENTA,ULTIMO_COSTO,CODIGO_BARRAS,DTO_CLIENTE,TITULO,TIPO_PRODUCTO,PRECIO_LISTA,COSTO_DEL_DIA_VTA,AUTOR_,DTO_COMERCIAL_,EDITORIAL_,AREA_TEMATICA_,TEMA_,SUBTEMA_,Num_dia_ven,Fecha_ven,N_dia_ven,N_mes_ven,FONDO_180d
94432,117806,SUCURSAL_5,2022,10,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,692516.0,PISO DE VENTA,1.0,329.0,190.82,9786073103381,0.0,Tus zonas errÃ³neas / 2 Ed.,LIBRO,329.0,190.82,"DYER, WAYNE W.",42.0,DEBOLSILLO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,13,2022-10-13,Jueves,Octubre,Fondo
12698,17159,SUCURSAL_1,2021,8,EDITORIAL OCEANO DE MEXICO SA DE CV,7172049.0,PISO DE VENTA,1.0,255.0,140.76,9788433902610,0.0,Las partÃ­culas elementales,LIBRO,255.0,,"HOUELLEBECQ, MICHEL",44.8,ANAGRAMA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,1,2021-08-01,Domingo,Agosto,Fondo
143309,179141,SUCURSAL_2,2022,11,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4431921.0,PISO DE VENTA,1.0,299.0,173.42,9786073820974,0.0,El silbido del arquero,LIBRO,299.0,173.42,"VALLEJO, IRENE",42.0,LRH (LITERATURA RANDOM HOUSE),LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,5,2022-11-05,SÃ¡bado,Noviembre,Novedad
127527,159633,SUCURSAL_2,2022,7,EDITORIAL PLANETA MEXICANA,4399957.0,PISO DE VENTA,1.0,268.0,155.44,9786070756047,0.0,Los compas y el diamantito legendario,LIBRO,268.0,155.44,MIKECRACK,42.0,MR (EDICIONES MARTINEZ ROCA),NIÃOS,NIÃOS,DE 6 A 12 AÃOS,30,2022-07-30,SÃ¡bado,Julio,Fondo
170384,208930,SUCURSAL_4,2021,6,NIRVANA LIBROS SA DE CV,842062.0,PISO DE VENTA,1.0,360.0,215.0,9788478087501,0.25,CAMBIA TU CEREBRO CAMBIA TU CUERPO,LIBRO,480.0,,"AMEN, DANIEL G.",50.0,SIRIO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SALUD ALTERNATIVA,SALUD GENERAL,30,2021-06-30,MiÃ©rcoles,Junio,Fondo
75402,92801,SUCURSAL_5,2021,3,EDITORIAL OCEANO DE MEXICO SA DE CV,623992.0,PISO DE VENTA,1.0,360.0,198.72,9786074004502,,Sinsajo / Los juegos del hambre / vol. 3,LIBRO,360.0,,"COLLINS, SUZANNE",44.8,OCEANO / TRAVESIA,JUVENIL,LITERATURA,LITERATURA JUVENIL,28,2021-03-28,Domingo,Marzo,Fondo
177626,217659,SUCURSAL_4,2022,12,EDITORIAL PLANETA MEXICANA,908010.0,PISO DE VENTA,1.0,133.2,85.84,9786070785894,0.1,CÃ³mplices,LIBRO,148.0,85.84,"TAIBO, BENITO",42.0,BOOKET,JUVENIL,LITERATURA,LITERATURA JUVENIL,27,2022-12-27,Martes,Diciembre,Fondo
28141,34868,SUCURSAL_1,2021,5,COLOFON SA DE CV,7149604.0,PISO DE VENTA,1.0,247.5,165.0,9788485081912,,El pensamiento del afuera / 7 ed.,LIBRO,330.0,,"FOUCAULT, MICHEL",50.0,PRE-TEXTOS,HUMANIDADES,FILOSOFIA,FILOSOFIA,22,2021-05-22,SÃ¡bado,Mayo,Fondo
49380,61885,SUCURSAL_1,2022,12,EDITORIAL PLANETA MEXICANA,7348922.0,PISO DE VENTA,1.0,398.0,230.84,9786070780691,0.0,El hijo del CapitÃ¡n Trueno,LIBRO,398.0,230.84,"BOSE, MIGUEL",42.0,ESPASA,CIENCIAS SOCIALES,HISTORIA,BIOGRAFIAS,21,2022-12-21,MiÃ©rcoles,Diciembre,Fondo
91585,113590,SUCURSAL_5,2022,10,EDITORIAL PLANETA MEXICANA,692061.0,PISO DE VENTA,1.0,358.0,172.84,9786070761379,0.0,FROZEN 2. BOSQUE DE SOMBRAS,LIBRO,358.0,207.64,DISNEY,42.0,PLANETA (LICENCIAS),NIÃOS,NIÃOS,DE 6 A 12 AÃOS,8,2022-10-08,SÃ¡bado,Octubre,Fondo
79097,97862,SUCURSAL_5,2021,8,EDITORIAL OCEANO DE MEXICO SA DE CV,640525.0,PISO DE VENTA,1.0,360.0,198.72,9788484458128,0.0,REGRESA A TI. EL LIBRO DEL AMOR,LIBRO,360.0,,"BLANES, VIRGINIA",44.8,GAIA EDICIONES,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,7,2021-08-07,SÃ¡bado,Agosto,Fondo
177415,217383,SUCURSAL_4,2022,8,EDITORIAL PLANETA MEXICANA,890311.0,PISO DE VENTA,1.0,148.0,,9786070781681,0.0,Pistas de Blue y tÃº. Â¡A jugar!,LIBRO,148.0,85.84,NICKELODEON,42.0,PLANETA (LICENCIAS),NIÃOS,NIÃOS,DE 3 A 5 AÃOS,1,2022-08-01,Lunes,Agosto,Fondo
114509,144296,SUCURSAL_2,2021,7,NIRVANA LIBROS SA DE CV,4290669.0,PISO DE VENTA,1.0,472.5,315.0,9788417399481,0.25,CARTAS DE LA SANACION DE LAS 5 HERIDAS (ESTUCHE),LIBRO,630.0,,"BOURBEAU, LISE",50.0,SIRIO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,24,2021-07-24,SÃ¡bado,Julio,Fondo
39052,48738,SUCURSAL_1,2021,1,PEARSON EDUCACION DE MEXICO SA DE CV,7106285.0,PISO DE VENTA,1.0,1187.5,850.0,9788478290956,,NUTRICION,LIBRO,1250.0,,"THOMPSON, JANICE L.",32.0,PEARSON,"TEXTOS ESCOLARES, UNIVERSITARIOS Y TÃCNICOS",MEDICINA,ENFERMERIA Y PROMOCION DE LA SALUD,5,2021-01-05,Martes,Enero,Fondo
73996,90823,SUCURSAL_5,2021,3,EDITORIAL OCEANO DE MEXICO SA DE CV,624270.0,PISO DE VENTA,1.0,440.0,242.88,9788433980625,,Un lugar llamado AntaÃ±o / 2 ed.,LIBRO,440.0,,"TOKARCZUK, OLGA",44.8,ANAGRAMA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,30,2021-03-30,Martes,Marzo,Novedad
11359,15359,SUCURSAL_1,2021,9,EDITORIAL OCEANO DE MEXICO SA DE CV,7186785.0,PISO DE VENTA,1.0,175.0,96.6,9786075276656,0.0,SEDA,LIBRO,175.0,,"BARICCO, ALESSANDRO",44.8,ANAGRAMA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,3,2021-09-03,Viernes,Septiembre,Fondo
114161,143890,SUCURSAL_2,2021,8,NIRVANA LIBROS SA DE CV,4300419.0,PISO DE VENTA,1.0,397.5,265.0,9788499884998,0.25,SAMKHYAKARIKA. LAS ESTROFAS DEL SAMKHYA,LIBRO,530.0,,ISVARAKRSNA,50.0,KAIROS,HUMANIDADES,FILOSOFIA,FILOSOFIA,24,2021-08-24,Martes,Agosto,Fondo
140873,176329,SUCURSAL_2,2022,7,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4396059.0,PISO DE VENTA,1.0,499.0,301.02,9786073812719,0.0,Mujeres que corren con los lobos,LIBRO,499.0,289.42,"PINKOLA ESTES, CLARISSA",42.0,EDICIONES B,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,12,2022-07-12,Martes,Julio,Novedad
124912,156287,SUCURSAL_2,2022,7,EDITORIAL PLANETA MEXICANA,4399975.0,PISO DE VENTA,1.0,208.0,120.64,9788445076538,0.0,CrÃ³nicas marcianas,LIBRO,208.0,120.64,"BRADBURY, RAY",42.0,BOOKET,LITERATURA,LITERATURA,CIENCIA FICCION Y LITERATURA FANTASTICA,30,2022-07-30,SÃ¡bado,Julio,Fondo
70239,86007,SUCURSAL_1,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7344965.0,PISO DE VENTA,1.0,299.0,173.42,9786073820653,0.0,El rey del cash. El saqueo oculto del presidente y su equipo cercano,LIBRO,299.0,173.42,"CHAVEZ, ELENA",42.0,GRIJALBO,CIENCIAS SOCIALES,CIENCIAS SOCIALES,COMUNICACION Y PERIODISMO,14,2022-12-14,MiÃ©rcoles,Diciembre,Novedad
164912,202427,SUCURSAL_4,2022,5,EDITORIAL OCEANO DE MEXICO SA DE CV,884614.0,PISO DE VENTA,1.0,204.4,162.84,9788484457961,0.44,COLISION CON EL INFINITO. UNA VIDA MAS ALLA DEL YO PERSONAL,LIBRO,365.0,,"SEGAL, SUZANNE",44.8,GAIA EDICIONES,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,LITERATURA ESPIRITUAL,31,2022-05-31,Martes,Mayo,Fondo
8530,11274,SUCURSAL_1,2021,6,EDITORIAL OCEANO DE MEXICO SA DE CV,7155392.0,PISO DE VENTA,1.0,165.0,91.08,9788433920447,0.0,"MAQUINA DE FOLLAR, LA",LIBRO,165.0,,"BUKOWSKI, CHARLES",44.8,ANAGRAMA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,10,2021-06-10,Jueves,Junio,Fondo
51634,64460,SUCURSAL_1,2022,12,EDITORIAL PLANETA MEXICANA,7348368.0,PISO DE VENTA,1.0,258.0,149.64,9786070790850,0.0,El mundial de Trino. EdiciÃ³n Qatar,LIBRO,258.0,149.64,"TRINO (CAMACHO OROZCO, JOSE TRINIDAD)",42.0,PLANETA,LITERATURA ILUSTRADA Y CÃMIC,"ARTES, BELLAS ARTES Y ARTES DECORATIVAS",CARICATURA COMICS Y NOVELA GRAFICA,20,2022-12-20,Martes,Diciembre,Novedad
135238,169314,SUCURSAL_2,2022,8,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4408576.0,PISO DE VENTA,1.0,119.0,80.62,9786075292199,0.0,La teorÃ­a de los muchos mundos,LIBRO,119.0,69.02,"EDGE, CHRISTOPHER",42.0,EDICIONES B,JUVENIL,LITERATURA,LITERATURA JUVENIL,26,2022-08-26,Viernes,Agosto,Fondo
182320,223479,SUCURSAL_4,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,905439.0,PISO DE VENTA,1.0,230.3,190.82,9786073810494,0.3,Boulevard. La versiÃ³n de flor / Libro 1,LIBRO,329.0,190.82,"SALVADOR, FLOR M.",42.0,MONTENA,JUVENIL,LITERATURA,LITERATURA JUVENIL,14,2022-12-14,MiÃ©rcoles,Diciembre,Fondo
40414,50867,SUCURSAL_1,2021,8,PEARSON EDUCACION DE MEXICO SA DE CV,7174174.0,PISO DE VENTA,1.0,399.0,273.0,9786073241663,0.05,LOGICA Y ARGUMENTACION. UNA INTRODUCCION AL ESPACIO DE LAS RAZONES,LIBRO,420.0,,"RODRIGUEZ, GABRIELA",35.0,PEARSON,"TEXTOS ESCOLARES, UNIVERSITARIOS Y TÃCNICOS",TEXTOS ESCOLARES,BACHILLERATO,8,2021-08-08,Domingo,Agosto,Fondo
33857,41343,SUCURSAL_1,2021,12,COLOFON SA DE CV,7227682.0,PISO DE VENTA,1.0,356.25,237.5,9788416495368,0.25,COCAINA / 2 ED / PD.,LIBRO,475.0,,"JIMENEZ, DANIEL",50.0,GALAXIA GUTENBERG,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,18,2021-12-18,SÃ¡bado,Diciembre,Fondo
67904,83374,SUCURSAL_1,2022,11,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7338566.0,PISO DE VENTA,1.0,249.0,144.42,9786073812658,0.0,Gigante de lodo. Odebrech. Lozoya y su redes de complicidad,LIBRO,249.0,144.42,"OLMOS, RAUL",42.0,DEBOLSILLO PREMIUM,CIENCIAS SOCIALES,CIENCIAS SOCIALES,COMUNICACION Y PERIODISMO,25,2022-11-25,Viernes,Noviembre,Novedad
182672,223915,SUCURSAL_4,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,905439.0,PISO DE VENTA,1.0,202.3,167.62,9786073816380,0.3,Boulevard. DespuÃ©s de Ã©l / Libro 2,LIBRO,289.0,167.62,"SALVADOR, FLOR M.",42.0,MONTENA,JUVENIL,LITERATURA,LITERATURA JUVENIL,14,2022-12-14,MiÃ©rcoles,Diciembre,Fondo
131568,164768,SUCURSAL_2,2022,11,EDITORIAL PLANETA MEXICANA,4432485.0,PISO DE VENTA,1.0,598.0,346.84,9788445006498,0.0,Los Hijos de HÃºrin,LIBRO,598.0,346.84,"TOLKIEN, J. R. R. (TOLKIEN, JOHN RONALD REUEL)",42.0,MINOTAURO,LITERATURA,LITERATURA,CIENCIA FICCION Y LITERATURA FANTASTICA,8,2022-11-08,Martes,Noviembre,Novedad
102371,129145,SUCURSAL_2,2022,1,EDITORIAL OCEANO DE MEXICO SA DE CV,4353257.0,PISO DE VENTA,1.0,695.0,383.64,9781883360856,0.0,UN CURSO DE MILAGROS / 2 ED.,LIBRO,695.0,,FUNDACION PARA LA PAZ INTERIOR,44.8,PEACE OF GOD E.U.,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,LITERATURA ESPIRITUAL,27,2022-01-27,Jueves,Enero,Fondo
105492,133275,SUCURSAL_2,2021,6,EDITORIAL OCEANO DE MEXICO SA DE CV,4285177.0,PISO DE VENTA,1.0,192.5,151.8,9786075570709,0.3,Descender vol. 6. La guerra de las mÃ¡quinas,LIBRO,275.0,,"LEMIRE, JEFF",44.8,OCEANO HISTORIAS GRAFICAS,JUVENIL,"ARTES, BELLAS ARTES Y ARTES DECORATIVAS",CARICATURA COMICS Y NOVELA GRAFICA,29,2021-06-29,Martes,Junio,Novedad
67344,82750,SUCURSAL_1,2022,9,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7317371.0,PISO DE VENTA,1.0,332.1,214.02,9786073814959,0.1,CanciÃ³n de antiguos amantes,LIBRO,369.0,214.02,"RESTREPO, LAURA",42.0,ALFAGUARA,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,14,2022-09-14,MiÃ©rcoles,Septiembre,Novedad
56385,70103,SUCURSAL_1,2022,9,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7311806.0,PISO DE VENTA,1.0,399.0,231.42,9786073151498,0.0,Rayuela,LIBRO,399.0,231.42,"CORTAZAR, JULIO",42.0,DEBOLSILLO,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,2,2022-09-02,Viernes,Septiembre,Fondo
104406,131875,SUCURSAL_2,2021,3,EDITORIAL OCEANO DE MEXICO SA DE CV,4264164.0,PISO DE VENTA,1.0,325.0,179.4,9780988221895,,RECETAS. EL PODER DEL METABOLISMO,LIBRO,325.0,,"SUAREZ, FRANK",44.8,METABOLIC PRESS,ENTRETENIMIENTO Y ESTILO DE VIDA,GASTRONOMIA,RECETARIO GENERAL,22,2021-03-22,Lunes,Marzo,Fondo
10112,13583,SUCURSAL_1,2021,8,EDITORIAL OCEANO DE MEXICO SA DE CV,7183789.0,PISO DE VENTA,1.0,290.0,160.08,9786077351337,0.0,"SUERTE DE LA CONSORTE, LA",LIBRO,290.0,,"SEFCHOVICH, SARA",44.8,OCEANO,CIENCIAS SOCIALES,HISTORIA,BIOGRAFIAS,28,2021-08-28,SÃ¡bado,Agosto,Fondo
106492,134548,SUCURSAL_2,2021,12,EDITORIAL OCEANO DE MEXICO SA DE CV,4339223.0,PISO DE VENTA,1.0,285.0,157.32,9780988221802,0.0,"PODER DEL METABOLISMO, EL (NUEVA EDICION) / 4 ED.",LIBRO,285.0,,"SUAREZ, FRANK",44.8,METABOLIC PRESS,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SALUD ALTERNATIVA,DIETAS Y EN FORMA,15,2021-12-15,MiÃ©rcoles,Diciembre,Fondo
3944,4961,SUCURSAL_1,2021,2,EDITORIAL OCEANO DE MEXICO SA DE CV,7119632.0,PISO DE VENTA,1.0,450.0,248.4,9788484454823,,CURACION AYURVEDA,LIBRO,450.0,,"LAD, VASANT",44.8,OCEANO / GAIA,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SALUD ALTERNATIVA,TECNICAS ORIENTALES DE SALUD,25,2021-02-25,Jueves,Febrero,Fondo
42875,53821,SUCURSAL_1,2022,11,EDITORIAL PLANETA MEXICANA,7334125.0,PISO DE VENTA,1.0,99.0,57.42,9786070725692,0.0,ESTUDIO Q,LIBRO,99.0,57.42,"LEÃERO, VICENTE",42.0,SEIX BARRAL,LITERATURA,LITERATURA,AUTORES MEXICANOS,8,2022-11-08,Martes,Noviembre,Fondo
12411,16777,SUCURSAL_1,2021,7,EDITORIAL OCEANO DE MEXICO SA DE CV,7169108.0,PISO DE VENTA,1.0,390.0,215.28,9786075570341,0.0,MATAR A NOVEMBER,LIBRO,390.0,,"MATHER, ADRIANA",44.8,OCEANO GRAN TRAVESIA,JUVENIL,LITERATURA,LITERATURA JUVENIL,23,2021-07-23,Viernes,Julio,Fondo
35704,43376,SUCURSAL_1,2021,11,COLOFON SA DE CV,7214438.0,PISO DE VENTA,1.0,262.5,175.0,9786076351581,0.25,Las voladoras,LIBRO,350.0,,"OJEDA, MONICA",50.0,PAGINAS DE ESPUMA,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,15,2021-11-15,Lunes,Noviembre,Fondo
44130,55417,SUCURSAL_1,2022,8,EDITORIAL PLANETA MEXICANA,7300270.0,PISO DE VENTA,1.0,308.0,178.64,9786070745645,0.0,Cosas que piensas cuando te muerdes las uÃ±as,LIBRO,308.0,178.64,"ANDRADE ARANGO, AMALIA",42.0,PLANETA,JUVENIL,LITERATURA,LITERATURA JUVENIL,5,2022-08-05,Viernes,Agosto,Fondo
157890,194859,SUCURSAL_3,2022,7,EDITORIAL PLANETA MEXICANA,2021617.0,PISO DE VENTA,1.0,228.0,132.24,9786070780929,0.0,La ridÃ­cula idea de no volver a verte / pd.,LIBRO,228.0,132.24,"MONTERO, ROSA",42.0,BOOKET,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,23,2022-07-23,SÃ¡bado,Julio,Fondo
156885,193822,SUCURSAL_3,2022,8,EDITORIAL PLANETA MEXICANA,2023405.0,PISO DE VENTA,1.0,99.0,57.42,9786070758577,0.0,"NOCHE QUE NO PARO DE LLOVER, LA",LIBRO,99.0,57.42,"CASTAÃON, LAURA",42.0,BOOKET,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,11,2022-08-11,Jueves,Agosto,Fondo
132485,165884,SUCURSAL_2,2022,12,EDITORIAL PLANETA MEXICANA,4439026.0,PISO DE VENTA,1.0,288.0,167.04,9786070794698,0.0,El chico de las estrellas,LIBRO,288.0,167.04,"PUEYO, CHRIS",42.0,CROSSBOOKS,JUVENIL,LITERATURA,LITERATURA JUVENIL,5,2022-12-05,Lunes,Diciembre,Novedad
48232,60512,SUCURSAL_1,2022,12,EDITORIAL PLANETA MEXICANA,7349626.0,PISO DE VENTA,1.0,149.0,86.42,9786070776755,0.0,El cÃ³digo del hÃ©roe,LIBRO,149.0,86.42,"MCRAVEN, WILLIAM H.",42.0,DIANA,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,22,2022-12-22,Jueves,Diciembre,Fondo
142761,178532,SUCURSAL_2,2022,8,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4407723.0,PISO DE VENTA,1.0,299.0,173.42,9786073816069,0.0,El poder del ahora,LIBRO,299.0,173.42,"TOLLE, ECKHART",42.0,DEBOLSILLO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,23,2022-08-23,Martes,Agosto,Novedad
136272,170633,SUCURSAL_2,2022,10,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4427421.0,PISO DE VENTA,1.0,99.0,57.42,9786073172875,0.0,El seÃ±or Nakano y las mujeres,LIBRO,99.0,57.42,"KAWAKAMI, HIROMI",42.0,DEBOLSILLO,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,17,2022-10-17,Lunes,Octubre,Fondo
161459,198666,SUCURSAL_3,2022,11,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,2033882.0,PISO DE VENTA,1.0,219.0,127.02,9786073197892,0.0,Arrebatos carnales / Vol. 3,LIBRO,219.0,127.02,"MORENO, FRANCISCO MARTIN",42.0,ALFAGUARA,LITERATURA,LITERATURA,AUTORES MEXICANOS,14,2022-11-14,Lunes,Noviembre,Fondo
71073,86923,SUCURSAL_1,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7342820.0,PISO DE VENTA,1.0,159.0,111.3,9786073823814,0.0,As the Gods will,LIBRO,159.0,111.3,"KANESHIRO, MUNEYUKI",30.0,DISTRITO MANGA,LITERATURA ILUSTRADA Y CÃMIC,"ARTES, BELLAS ARTES Y ARTES DECORATIVAS",CARICATURA COMICS Y NOVELA GRAFICA,8,2022-12-08,Jueves,Diciembre,Novedad
75522,92961,SUCURSAL_5,2021,3,EDITORIAL OCEANO DE MEXICO SA DE CV,621491.0,PISO DE VENTA,1.0,265.0,135.24,9786074009828,,DIARIO DE NIKKI 4. UNA PRINCESA DE HIELO MUY POCO AGRACIADA,LIBRO,265.0,,"RUSSELL, RACHEL RENEE",44.8,OCEANO / TRAVESIA INFANTIL,JUVENIL,LITERATURA,LITERATURA JUVENIL,7,2021-03-07,Domingo,Marzo,Fondo
64828,79917,SUCURSAL_1,2022,11,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7335328.0,PISO DE VENTA,1.0,377.1,231.42,9786073806947,0.1,La regresiÃ³n educativa. La hostilidad de las 4T contra la ilustraciÃ³n,LIBRO,419.0,243.02,"GUEVARA NIEBLA, GILBERTO",42.0,GRIJALBO,CIENCIAS SOCIALES,CIENCIAS SOCIALES,POLITICA,13,2022-11-13,Domingo,Noviembre,Fondo
176900,216732,SUCURSAL_4,2022,12,EDITORIAL PLANETA MEXICANA,907100.0,PISO DE VENTA,1.0,348.0,201.84,9786070777349,0.0,El mexicano de Buchenwald,LIBRO,348.0,201.84,"GODINEZ, JULIO",42.0,PLANETA,LITERATURA,LITERATURA,AUTORES MEXICANOS,22,2022-12-22,Jueves,Diciembre,Fondo
59043,73191,SUCURSAL_1,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7340806.0,PISO DE VENTA,1.0,249.0,144.42,9786073173964,0.0,La hija del sepulturero,LIBRO,249.0,144.42,"OATES, JOYCE CAROL",42.0,DEBOLSILLO,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,2,2022-12-02,Viernes,Diciembre,Fondo
145958,182120,SUCURSAL_3,2021,5,EDITORIAL OCEANO DE MEXICO SA DE CV,1965867.0,PISO DE VENTA,1.0,260.0,143.52,9786075276779,,"SENDA DEL PERDEDOR, LA",LIBRO,260.0,,"BUKOWSKI, CHARLES",44.8,ANAGRAMA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,4,2021-05-04,Martes,Mayo,Fondo
66655,81968,SUCURSAL_1,2022,11,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7336087.0,PISO DE VENTA,1.0,249.0,144.42,9786073814881,0.0,La cabeza de mi padre,LIBRO,249.0,144.42,"MURILLO, ALMA DELIA",42.0,ALFAGUARA,LITERATURA,LITERATURA,AUTORES MEXICANOS,16,2022-11-16,MiÃ©rcoles,Noviembre,Fondo
118076,148340,SUCURSAL_2,2021,6,COLOFON SA DE CV,4280579.0,PISO DE VENTA,1.0,93.75,62.5,9789688673799,0.25,DISCURSO DEL METODO,LIBRO,125.0,,"DESCARTES, RENE",50.0,COLOFON,HUMANIDADES,FILOSOFIA,FILOSOFIA,9,2021-06-09,MiÃ©rcoles,Junio,Fondo
88792,109523,SUCURSAL_5,2021,12,COLOFON SA DE CV,658880.0,PISO DE VENTA,1.0,228.0,156.75,9788425432026,0.2,"HOMBRE EN BUSCA DE SENTIDO, EL",LIBRO,285.0,,"FRANKL, VIKTOR E.",45.0,HERDER,HUMANIDADES,PSICOLOGIA,PSICOLOGIA APLICADA,17,2021-12-17,Viernes,Diciembre,Fondo
130788,163829,SUCURSAL_2,2022,10,EDITORIAL PLANETA MEXICANA,4426348.0,PISO DE VENTA,1.0,228.0,132.24,9786070785702,0.0,La caÃ­da de Gondolin,LIBRO,228.0,132.24,"TOLKIEN, J. R. R. (TOLKIEN, JOHN RONALD REUEL)",42.0,BOOKET,LITERATURA,LITERATURA,CIENCIA FICCION Y LITERATURA FANTASTICA,15,2022-10-15,SÃ¡bado,Octubre,Fondo
119130,149496,SUCURSAL_2,2021,12,COLOFON SA DE CV,4339022.0,PISO DE VENTA,1.0,228.0,156.75,9788425432026,0.2,"HOMBRE EN BUSCA DE SENTIDO, EL",LIBRO,285.0,,"FRANKL, VIKTOR E.",45.0,HERDER,HUMANIDADES,PSICOLOGIA,PSICOLOGIA APLICADA,14,2021-12-14,Martes,Diciembre,Fondo
67774,83233,SUCURSAL_1,2022,7,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7296170.0,PISO DE VENTA,1.0,299.0,173.42,9786073815826,0.0,Prensa inmunda,LIBRO,299.0,173.42,"MORIN, EDGAR",42.0,GRIJALBO,CIENCIAS SOCIALES,CIENCIAS SOCIALES,COMUNICACION Y PERIODISMO,22,2022-07-22,Viernes,Julio,Novedad
102777,129673,SUCURSAL_2,2022,4,EDITORIAL OCEANO DE MEXICO SA DE CV,4374371.0,PISO DE VENTA,1.0,480.0,264.96,9788484458869,0.0,RegenÃ©rate. Libera la resiliencia natural de tu cuerpo mediante la nueva biologÃ­a,LIBRO,480.0,,"JI, SAYER",44.8,OCEANO / GAIA,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SALUD ALTERNATIVA,SALUD GENERAL,5,2022-04-05,Martes,Abril,Novedad
100161,126293,SUCURSAL_5,2022,11,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,694378.0,PISO DE VENTA,1.0,199.0,,9786073819510,0.0,El club de las paseadoras de perros 1. Amistad al primer ladrido,LIBRO,199.0,115.42,"MORA, PATRICIA",42.0,MOLINO,NIÃOS,NIÃOS,DE 6 A 12 AÃOS,2,2022-11-02,MiÃ©rcoles,Noviembre,Novedad
174167,213390,SUCURSAL_4,2021,12,PEARSON EDUCACION DE MEXICO SA DE CV,863441.0,PISO DE VENTA,1.0,648.85,464.44,9786073238458,0.05,FUNDAMENTOS DE MARKETING / 13 ED.,LIBRO,683.0,,"KOTLER, PHILIP",32.0,PEARSON,"ECONOMÃA, ADMINISTRACIÃN Y FINANZAS",NEGOCIOS Y ADMINISTRACION DE EMPRESAS,MERCADOTECNIA,15,2021-12-15,MiÃ©rcoles,Diciembre,Fondo
103018,129983,SUCURSAL_2,2022,6,EDITORIAL OCEANO DE MEXICO SA DE CV,4390940.0,PISO DE VENTA,1.0,550.0,303.6,9788416354085,0.0,JardinosofÃ­a. Una historia filosÃ³fica de los jardines,LIBRO,550.0,303.6,"BERUETE, SANTIAGO",44.8,OCEANO / TURNER,HUMANIDADES,FILOSOFIA,FILOSOFIA,18,2022-06-18,SÃ¡bado,Junio,Fondo
