,Unnamed: 0,SUCURSAL,PERIODO,MES,PROVEEDOR,FOLIO_VENTA,TIPO_VENTA,CANTIDAD_VENTA,TOTAL_VENTA,ULTIMO_COSTO,CODIGO_BARRAS,DTO_CLIENTE,TITULO,TIPO_PRODUCTO,PRECIO_LISTA,COSTO_DEL_DIA_VTA,AUTOR_,DTO_COMERCIAL_,EDITORIAL_,AREA_TEMATICA_,TEMA_,SUBTEMA_,Num_dia_ven,Fecha_ven,N_dia_ven,N_mes_ven,FONDO_180d
60485,74832,SUCURSAL_1,2022,10,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7327976.0,PISO DE VENTA,1.0,359.1,231.42,9786073184021,0.1,Doctor SueÃ±o / EdiciÃ³n de pelÃ­cula,LIBRO,399.0,231.42,"KING, STEPHEN",42.0,DEBOLSILLO,LITERATURA,LITERATURA,NOVELA DE TERROR,16,2022-10-16,Domingo,Octubre,Fondo
124448,155769,SUCURSAL_2,2021,8,PEARSON EDUCACION DE MEXICO SA DE CV,4301745.0,PISO DE VENTA,1.0,357.0,232.05,9786073249782,0.0,LITERATURA MEXICANA E IBEROAMERICANA,LIBRO,357.0,,"OROZCO TORRE, ARTURO",35.0,PEARSON,"TEXTOS ESCOLARES, UNIVERSITARIOS Y TÃCNICOS",TEXTOS ESCOLARES,BACHILLERATO,27,2021-08-27,Viernes,Agosto,Fondo
175327,214833,SUCURSAL_4,2022,12,EDITORIAL PLANETA MEXICANA,907197.0,PISO DE VENTA,1.0,138.0,80.04,9786070744785,0.0,Tres ratones ciegos,LIBRO,138.0,80.04,"CHRISTIE, AGATHA",42.0,BOOKET,LITERATURA,LITERATURA,NOVELA POLICIACA Y DE SUSPENSO,23,2022-12-23,Viernes,Diciembre,Fondo
149501,185947,SUCURSAL_3,2022,1,NIRVANA LIBROS SA DE CV,2002249.0,PISO DE VENTA,1.0,270.0,210.0,9788416579662,0.25,MINI HABITOS. COMO LOGRAR GRANDES RESULTADOS,LIBRO,360.0,,"GUISE, STEPHEN",50.0,SIRIO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,20,2022-01-20,Jueves,Enero,Fondo
71562,87501,SUCURSAL_5,2022,1,EDITORIAL OCEANO DE MEXICO SA DE CV,662571.0,PISO DE VENTA,1.0,225.0,124.2,9789688673591,0.0,"ESPOSO DIVINO, EL",LIBRO,225.0,,"GOLDMAN, FRANCISCO",44.8,ANAGRAMA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,4,2022-01-04,Martes,Enero,Fondo
6546,8581,SUCURSAL_1,2021,5,EDITORIAL OCEANO DE MEXICO SA DE CV,7149991.0,PISO DE VENTA,1.0,285.0,157.32,9780988221802,,"PODER DEL METABOLISMO, EL (NUEVA EDICION) / 4 ED.",LIBRO,285.0,,"SUAREZ, FRANK",44.8,METABOLIC PRESS,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SALUD ALTERNATIVA,DIETAS Y EN FORMA,23,2021-05-23,Domingo,Mayo,Fondo
110922,140049,SUCURSAL_2,2021,5,NIRVANA LIBROS SA DE CV,4272232.0,PISO DE VENTA,1.0,435.0,290.0,9788478084371,,"TAROT DE SIRIO, EL (LIBRO + CARTAS)",LIBRO,580.0,,"MARTIN, ELISABETH",50.0,SIRIO,ESOTERISMO,ESOTERISMO,ARTES ADIVINATORIAS,1,2021-05-01,SÃ¡bado,Mayo,Fondo
165340,202934,SUCURSAL_4,2021,5,EDITORIAL OCEANO DE MEXICO SA DE CV,838689.0,PISO DE VENTA,2.0,2990.0,825.24,9788424929282,,DICCIONARIO DE USO DEL ESPAÃOL / 4 ED.,LIBRO,1495.0,,"MOLINER, MARIA",44.8,GREDOS,SIN DATO,OBRAS DE REFERENCIA Y CONSULTA,DICCIONARIOS Y ENCICLOPEDIAS,29,2021-05-29,SÃ¡bado,Mayo,Fondo
77756,96009,SUCURSAL_5,2021,9,EDITORIAL OCEANO DE MEXICO SA DE CV,646913.0,PISO DE VENTA,1.0,395.0,218.04,9788494248214,0.0,DEJAR IR. EL CAMINO DE LA LIBERACION,LIBRO,395.0,,"HAWKINS, DAVID R.",44.8,OCEANO / EL GRANO DE MOSTAZA,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,LITERATURA ESPIRITUAL,21,2021-09-21,Martes,Septiembre,Fondo
45769,57462,SUCURSAL_1,2022,8,EDITORIAL PLANETA MEXICANA,7308576.0,PISO DE VENTA,1.0,49.0,28.42,9786070757594,0.0,SOBRE LAS CHICAS Y EL SEXO,LIBRO,49.0,28.42,"ORENSTEIN, PEGGY",42.0,PLANETA,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",PSICOLOGIA,SEXUALIDAD,26,2022-08-26,Viernes,Agosto,Fondo
